Light Blue Terracotta,light_blue_terracotta,18
Light Blue Wool,light_blue_wool,5
Light Gray Carpet,light_gray_carpet,18
Light Gray Terracotta,light_gray_terracotta,18
Light Gray Wool,light_gray_wool,5
Light Weighted Pressure Plate,light_weighted_pressure_plate,17
Lily Pad,lily_pad,12
Lime Carpet,lime_carpet,18
Lime Terracotta,lime_terracotta,18
Lime Wool,lime_wool,5
Magenta Carpet,magenta_carpet,18
Magenta Terracotta,magenta_terracotta,18
Magenta Wool,magenta_wool,5
Melon,melon,11
Monster Spawner,monster_spawner,0
Mossy Cobblestone,mossy_cobblestone,0
Mossy Cobblestone Wall,mossy_cobblestone_wall,16
Mossy Stone Bricks,mossy_stone_bricks,11
Mushroom Block,mushroom_block,11
Mushroom Stem,mushroom_stem,11
Mycelium,mycelium,12
Nether Brick Fence,nether_brick_fence,12
Nether Brick Slab,nether_brick_slab,16
Nether Brick Stairs,nether_brick_stairs,12
Nether Bricks,nether_bricks,12
Nether Quartz Ore,nether_quartz_ore,17
Netherrack,netherrack,2
Note Block,note_block,5
Oak Button,oak_button,16
Oak Door,oak_door,0
Oak Fence,oak_fence,0
Oak Fence Gate,oak_fence_gate,11
Oak Leaves,oak_leaves,0
Oak Log,oak_log,0
Oak Planks,oak_planks,0
Oak Pressure Plate,oak_pressure_plate,0
Oak Sapling,oak_sapling,0
Oak Sign,oak_sign,0
Oak Slab,oak_slab,15
Oak Stairs,oak_stairs,0
Oak Trapdoor,oak_trapdoor,9
Oak Wood,oak_wood,15
Obsidian,obsidian,0
Orange Carpet,orange_carpet,18
Orange Terracotta,orange_terracotta,18
Orange Wool,orange_wool,5
Petrified Oak Slab,oak_slab,6
Pink Carpet,pink_carpet,18
Pink Terracotta,pink_terracotta,18
Pink Wool,pink_wool,5
Piston,piston,10
Player Head,player_head,16
Powered Rail,powered_rail,8
Purple Carpet,purple_carpet,18
Purple Terracotta,purple_terracotta,18
Purple Wool,purple_wool,5
Quartz Pillar,quartz_pillar,17
Quartz Slab,quartz_slab,17
Quartz Stairs,quartz_stairs,17
Rail,rail,0
Red Bed,red_bed,6
Red Carpet,red_carpet,18
Red Mushroom,red_mushroom,0
Red Mushroom Block,red_mushroom_block,11
Red Terracotta,red_terracotta,18
Red Wool,red_wool,5
Redstone Comparator,redstone_comparator,17
Redstone Dust,redstone_dust,0
Redstone Lamp,redstone_lamp,14
Redstone Ore,redstone_ore,0
Redstone Repeater,redstone_repeater,6
Redstone Torch,redstone_torch,0
Rose,rose,0
Sand,sand,0
Sandstone,sandstone,5
Sandstone Slab,sandstone_slab,6
Sandstone Stairs,sandstone_stairs,15
Short Grass,short_grass,9
Skeleton Skull,skeleton_skull,16
Smooth Quartz Block,smooth_quartz_block,17
Smooth Sandstone,smooth_sandstone,17
Smooth Stone,smooth_stone_slab,6
Smooth Stone Slab,smooth_stone_slab,0
Snow,snow,0
Snow Block,snow_block,0
Soul Sand,soul_sand,2
Sponge,sponge,0
Spruce Leaves,spruce_leaves,5
Spruce Log,spruce_log,5
Spruce Planks,spruce_planks,14
Spruce Sapling,spruce_sapling,8
Spruce Slab,spruce_slab,15
Spruce Stairs,spruce_stairs,15
Spruce Wood,spruce_wood,15
Sticky Piston,sticky_piston,10
Stone,stone,0
Stone Brick Slab,stone_brick_slab,11
Stone Brick Stairs,stone_brick_stairs,11
Stone Bricks,stone_bricks,11
Stone Button,stone_button,0
Stone Pressure Plate,stone_pressure_plate,0
Sugar Cane,sugar_cane,0
Terracotta,terracotta,18
TNT,tnt,0
Trapped Chest,trapped_chest,17
Tripwire Hook,tripwire_hook,15
Vines,vines,11
Water,water,0
White Carpet,white_carpet,18
White Terracotta,white_terracotta,18
White Wool,white_wool,0
Wither Skeleton Skull,wither_skeleton_skull,16
Yellow Carpet,yellow_carpet,18
Yellow Terracotta,yellow_terracotta,18
Yellow Wool,yellow_wool,5
Zombie Head,zombie_head,16
